CreditScore,Gender,Age,Tenure,EstimatedSalary,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,Geography_Germany,Geography_Spain,BalanceSalaryRatio,IsHighBalance,BalanceZero,IsHighSalary,ProductUsage,Germany_X_Balance,Germany_X_EstimatedSalary,IsGermanAndLowCreditScore,IsGermanWithoutCrCard,IsGermanAndInactive
732,1,41,8,170886.17,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
636,0,32,8,138555.46,0.0,2,0,0,0,0,1,0.0,0,1,1,0,0.0,0.0,0,0,0
510,0,38,4,118913.53,0.0,1,0,0,1,0,1,0.0,0,1,1,0,0.0,0.0,0,0,0
669,1,46,3,8487.75,0.0,2,1,1,0,0,0,0.0,0,1,0,2,0.0,0.0,0,0,0
846,0,38,5,187616.16,0.0,1,1,1,0,0,0,0.0,0,1,1,1,0.0,0.0,0,0,0
577,1,25,3,124508.29,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
756,1,36,2,170041.95,136815.64,1,1,1,0,1,0,0.8045993356345302,1,0,1,1,136815.64,170041.95,0,0,0
571,1,44,9,38433.35,0.0,2,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
574,0,38,3,99762.19528900001,141349.43,1,1,1,0,1,0,1.4168636685522644,1,0,0,1,141349.43,99762.19528900001,1,0,0
411,1,29,0,53483.21,59697.17,2,1,1,0,0,0,1.1161852476693153,0,0,0,2,0.0,0.0,0,0,0
591,0,39,3,140469.38,0.0,3,0,0,1,0,1,0.0,0,1,1,0,0.0,0.0,0,0,0
533,1,36,7,156731.91,85311.7,1,1,1,0,0,0,0.5443160872600863,0,0,1,1,0.0,0.0,0,0,0
553,1,41,9,81898.81,110112.54,2,0,0,0,1,0,1.344494993272796,1,0,0,0,110112.54,81898.81,1,1,1
520,0,42,6,34410.55,0.0,2,1,1,0,0,1,0.0,0,1,0,2,0.0,0.0,0,0,0
722,0,29,9,142033.07,0.0,2,1,1,0,0,1,0.0,0,1,1,2,0.0,0.0,0,0,0
475,0,45,0,27822.99,134264.04,1,0,0,1,0,0,4.825651017378075,1,0,0,0,0.0,0.0,0,0,0
490,1,31,3,114066.77,145260.23,1,1,1,0,0,1,1.273466672195592,1,0,1,1,0.0,0.0,0,0,0
804,1,33,7,98453.45,76548.6,1,1,1,0,0,1,0.7775105900301108,0,0,0,1,0.0,0.0,0,0,0
850,1,36,7,40812.9,0.0,1,1,1,0,0,0,0.0,0,1,0,1,0.0,0.0,0,0,0
582,1,41,6,178074.04,70349.48,2,1,1,0,1,0,0.3950574716000153,0,0,1,2,70349.48,178074.04,1,0,0
472,1,40,4,70154.22,0.0,1,0,0,0,0,1,0.0,0,1,0,0,0.0,0.0,0,0,0
465,0,51,8,181297.65,122522.32,1,0,0,1,0,0,0.675807546319547,1,0,1,0,0.0,0.0,0,0,0
556,0,61,2,94153.83,117419.35,1,1,1,0,0,0,1.2471011535059169,1,0,0,1,0.0,0.0,0,0,0
834,0,49,2,194365.76,131394.56,1,0,0,1,0,0,0.6760170104034784,1,0,1,0,0.0,0.0,0,0,0
660,0,61,5,158338.39,155931.11,1,1,1,0,0,1,0.9847966118639957,1,0,1,1,0.0,0.0,0,0,0
776,0,32,4,126517.46,109421.13,2,1,1,0,1,0,0.8648697974176844,1,0,1,2,109421.13,126517.46,0,0,0
829,0,27,9,119708.21,112045.67,1,1,1,1,1,0,0.9359898539958119,1,0,1,1,112045.67,119708.21,0,0,0
637,0,39,9,117622.8,137843.8,1,1,1,1,1,0,1.1719139486562127,1,0,1,1,137843.8,117622.8,0,0,0
550,1,38,2,90878.13,103391.38,1,1,1,0,1,0,1.1376926439837616,1,0,0,1,103391.38,90878.13,1,0,0
776,0,37,2,194099.12,103769.22,2,0,0,0,1,0,0.5346197344944171,1,0,1,0,103769.22,194099.12,0,1,1
698,1,44,10,198059.16,116363.37,2,0,0,0,1,0,0.5875182445487499,1,0,1,0,116363.37,198059.16,0,1,1
585,1,36,5,86424.57,146050.97,2,0,0,0,1,0,1.6899241731836212,1,0,0,0,146050.97,86424.57,1,1,1
788,0,33,5,116978.19,0.0,2,0,0,0,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
655,1,41,8,164040.94,125561.97,1,0,0,1,1,0,0.7654306906556375,1,0,1,0,125561.97,164040.94,0,1,1
601,1,42,1,40014.76,98495.72,1,0,0,1,1,0,2.4614847121412198,0,0,0,0,98495.72,40014.76,0,1,1
619,1,43,1,113410.49,125211.92,1,1,1,0,0,0,1.1040594216637278,1,0,1,1,0.0,0.0,0,0,0
656,1,45,5,87107.57,127864.4,1,0,0,0,0,0,1.4678907929586371,1,0,0,0,0.0,0.0,0,0,0
725,1,19,0,45613.75,75888.2,1,0,0,0,1,0,1.6637132443616234,0,0,0,0,75888.2,45613.75,0,1,1
511,0,66,4,1643.11,0.0,1,0,0,1,0,1,0.0,0,1,0,0,0.0,0.0,0,0,0
614,1,51,4,46775.28,40685.92,1,1,1,0,0,0,0.8698167066022907,0,0,0,1,0.0,0.0,0,0,0
742,1,35,5,84509.57,136857.0,1,0,0,0,1,0,1.619426060267494,1,0,0,0,136857.0,84509.57,0,1,1
687,0,27,9,126494.82,152328.88,2,0,0,0,1,0,1.2042301811252034,1,0,1,0,152328.88,126494.82,0,1,1
555,1,33,1,178798.13,56084.69,2,0,0,0,0,1,0.3136760434798731,0,0,1,0,0.0,0.0,0,0,0
684,1,56,8,99398.36,78707.16,1,1,1,0,0,1,0.7918355997020474,0,0,0,1,0.0,0.0,0,0,0
603,1,26,4,92840.67,109166.37,1,1,1,0,1,0,1.17584642592519,1,0,0,1,109166.37,92840.67,0,0,0
751,0,36,6,27758.36,169831.46,2,1,1,0,1,0,6.1182094331221295,1,0,0,2,169831.46,27758.36,0,0,0
581,0,34,1,110431.51,101633.04,1,0,0,0,1,0,0.9203264539260578,1,0,1,0,101633.04,110431.51,1,1,1
735,1,43,10,196673.28,123180.01,2,1,1,0,1,0,0.6263179726295305,1,0,1,2,123180.01,196673.28,0,0,0
661,0,35,5,113656.85,150725.53,2,1,1,0,1,0,1.3261455864736704,1,0,1,2,150725.53,113656.85,0,0,0
675,0,21,8,18203.0,98373.26,1,0,0,0,0,0,5.404233368126133,0,0,0,0,0.0,0.0,0,0,0
738,1,58,2,28373.86,133745.44,4,0,0,1,1,0,4.713685060827113,1,0,0,0,133745.44,28373.86,0,1,1
813,1,29,6,33953.87,0.0,1,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
657,0,37,0,44203.55,163607.18,1,1,1,0,0,1,3.701222639358151,1,0,0,1,0.0,0.0,0,0,0
604,0,25,5,58426.81,157780.84,2,1,1,0,1,0,2.7004869853411475,1,0,0,2,157780.84,58426.81,0,0,0
519,1,36,9,145562.4,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
735,0,21,1,22388.0,178718.19,2,0,0,0,0,0,7.982767107378953,1,0,0,0,0.0,0.0,0,0,0
664,1,55,8,139161.64,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
678,0,32,9,148210.64,0.0,1,1,1,0,0,0,0.0,0,1,1,1,0.0,0.0,0,0,0
757,1,33,5,194239.63,77253.22,1,1,1,0,0,1,0.39772120653236415,0,0,1,1,0.0,0.0,0,0,0
416,0,41,10,98301.61,122189.66,2,0,0,0,1,0,1.2430077187952466,1,0,0,0,122189.66,98301.61,1,1,1
665,0,34,1,171413.66,96645.54,2,0,0,0,0,0,0.5638146924813343,0,0,1,0,0.0,0.0,0,0,0
777,0,32,2,136458.19,0.0,1,0,0,1,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
543,0,36,3,26019.59,0.0,2,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
506,0,34,4,159235.29,90307.62,1,1,1,0,0,0,0.5671332026964625,0,0,1,1,0.0,0.0,0,0,0
493,0,46,4,1907.66,0.0,2,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
652,0,75,10,114675.75,0.0,2,1,1,0,0,1,0.0,0,1,1,2,0.0,0.0,0,0,0
750,1,22,3,128643.35,121681.82,1,0,0,1,0,1,0.945885037975146,1,0,1,0,0.0,0.0,0,0,0
729,1,30,9,151869.35,0.0,2,0,0,0,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
646,0,46,4,93251.42,0.0,3,0,0,1,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
635,0,28,3,156791.36,81623.67,2,1,1,0,1,0,0.520587805348458,0,0,1,2,81623.67,156791.36,0,0,0
647,0,44,5,174205.22,0.0,3,1,1,1,0,1,0.0,0,1,1,3,0.0,0.0,0,0,0
808,1,45,7,147132.46,118626.55,2,0,0,0,0,0,0.8062568246327154,1,0,1,0,0.0,0.0,0,0,0
524,0,36,10,109614.57,0.0,2,0,0,0,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
769,1,29,8,172290.61,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
730,1,42,4,85982.47,0.0,2,1,1,0,0,1,0.0,0,1,0,2,0.0,0.0,0,0,0
515,1,35,10,121277.78,176273.95,1,1,1,0,0,1,1.453472763106317,1,0,1,1,0.0,0.0,0,0,0
773,1,41,9,64595.25,102827.44,1,1,1,0,0,1,1.5918730866433677,1,0,0,1,0.0,0.0,0,0,0
814,1,29,8,197276.13,97086.4,2,1,1,0,1,0,0.4921345527205952,0,0,1,2,97086.4,197276.13,0,0,0
710,1,22,8,99645.04,0.0,2,0,0,0,0,1,0.0,0,1,0,0,0.0,0.0,0,0,0
413,1,34,9,6534.18,0.0,2,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
665,0,40,6,161848.03,0.0,1,1,1,0,0,0,0.0,0,1,1,1,0.0,0.0,0,0,0
623,0,44,6,167162.43,0.0,2,0,0,0,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
738,1,31,9,41970.72,82674.15,1,0,0,0,0,0,1.9698053786068,0,0,0,0,0.0,0.0,0,0,0
528,1,36,7,60536.56,0.0,2,0,0,0,0,1,0.0,0,1,0,0,0.0,0.0,0,0,0
670,0,65,1,177655.68,0.0,1,1,1,1,0,1,0.0,0,1,1,1,0.0,0.0,0,0,0
622,0,46,4,30984.59,107073.27,2,1,1,1,0,1,3.4556942660851733,1,0,0,2,0.0,0.0,0,0,0
582,1,32,1,10054.53,88938.62,1,1,1,0,1,0,8.845626797075546,0,0,0,1,88938.62,10054.53,1,0,0
785,0,36,2,36976.52,99806.85,1,1,1,0,1,0,2.699195327196827,0,0,0,1,99806.85,36976.52,0,0,0
605,1,33,5,71862.79,150092.8,1,0,0,0,0,1,2.0886024603275213,1,0,0,0,0.0,0.0,0,0,0
479,1,35,9,99449.86,92833.89,1,0,0,1,1,0,0.933474315599841,0,0,0,0,92833.89,99449.86,1,1,1
685,1,30,3,63082.88,90536.81,1,1,1,0,1,0,1.435204131453732,0,0,0,1,90536.81,63082.88,0,0,0
538,1,39,7,27231.26,108055.1,2,0,0,0,1,0,3.968053626604131,1,0,0,0,108055.1,27231.26,1,1,1
562,1,42,2,86797.41,100238.35,1,0,0,0,0,0,1.154854159818824,1,0,0,0,0.0,0.0,0,0,0
675,1,36,9,22994.32,106190.55,1,1,1,0,0,1,4.618120909859479,1,0,0,1,0.0,0.0,0,0,0
721,1,28,9,101300.94,154475.54,2,1,1,1,1,0,1.524917142920885,1,0,1,2,154475.54,101300.94,0,0,0
628,0,30,9,74169.13,132351.29,2,1,1,0,1,0,1.7844525073976194,1,0,0,2,132351.29,74169.13,0,0,0
668,0,37,6,115638.29,167864.4,1,0,0,0,1,0,1.4516333646926118,1,0,1,0,167864.4,115638.29,0,1,1
506,0,41,1,31766.3,0.0,2,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
524,0,31,8,199725.39,107818.63,1,0,0,1,1,0,0.5398343695811534,1,0,1,0,107818.63,199725.39,1,1,1
699,1,34,4,120834.48,185173.81,2,0,0,0,1,0,1.5324583678433508,1,0,1,0,185173.81,120834.48,0,1,1
828,1,34,8,38131.77,129433.34,2,0,0,0,0,0,3.394370101361673,1,0,0,0,0.0,0.0,0,0,0
674,1,38,6,99762.19528900001,120193.42,1,0,0,0,0,1,1.204799269420776,1,0,0,0,0.0,0.0,0,0,0
656,0,39,6,141069.88,0.0,2,0,0,0,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
684,0,48,10,198129.36,126384.42,1,1,1,0,1,0,0.6378883977619471,1,0,1,1,126384.42,198129.36,0,0,0
625,0,28,3,183646.41,0.0,1,0,0,0,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
432,1,42,9,110265.24,152603.45,1,0,0,1,0,0,1.3839669691010512,1,0,1,0,0.0,0.0,0,0,0
549,0,52,1,8636.05,0.0,1,1,1,1,0,0,0.0,0,1,0,1,0.0,0.0,0,0,0
625,1,56,0,46824.08,148507.24,1,0,0,1,1,0,3.17159974098797,1,0,0,0,148507.24,46824.08,0,1,1
828,0,41,7,171378.77,0.0,2,0,0,0,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
770,1,24,9,167256.35,101827.07,1,0,0,0,0,0,0.6088083950175883,1,0,1,0,0.0,0.0,0,0,0
758,0,34,3,124226.16,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
795,0,33,9,114935.21,130862.43,1,1,1,0,1,0,1.138575637526568,1,0,1,1,130862.43,114935.21,0,0,0
687,1,38,9,35608.88,122570.87,1,1,1,0,0,0,3.442143364239482,1,0,0,1,0.0,0.0,0,0,0
686,1,25,1,16459.37,0.0,2,1,1,0,0,0,0.0,0,1,0,2,0.0,0.0,0,0,0
789,1,39,7,124411.08,124828.46,2,1,1,0,1,0,1.003354845886717,1,0,1,2,124828.46,124411.08,0,0,0
589,0,50,5,34941.23,144895.05,2,1,1,0,1,0,4.146821677428069,1,0,0,2,144895.05,34941.23,1,0,0
461,0,34,5,167784.28,63663.93,1,1,1,0,1,0,0.3794391822642741,0,0,1,1,63663.93,167784.28,1,0,0
637,1,40,2,93165.34,133463.1,1,1,1,0,0,0,1.4325402558505127,1,0,0,1,0.0,0.0,0,0,0
584,0,48,2,75161.25,213146.2,1,0,0,1,0,1,2.835852250993697,1,0,0,0,0.0,0.0,0,0,0
579,0,35,1,8590.83,129490.36,2,1,1,1,0,1,15.073090725808798,1,0,0,2,0.0,0.0,0,0,0
756,1,44,10,189543.9,137452.09,1,0,0,0,1,0,0.7251728491394341,1,0,1,0,137452.09,189543.9,0,1,1
663,1,34,7,180427.24,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
682,0,43,5,193318.33,125851.93,1,1,1,0,0,0,0.6510087791468093,1,0,1,1,0.0,0.0,0,0,0
793,1,52,2,159123.82,0.0,1,0,0,1,0,1,0.0,0,1,1,0,0.0,0.0,0,0,0
691,0,31,5,126213.84,40915.55,1,0,0,1,0,0,0.32417641361676347,0,0,1,0,0.0,0.0,0,0,0
485,0,21,5,54141.5,113157.22,1,1,1,0,0,1,2.090027428128146,1,0,0,1,0.0,0.0,0,0,0
635,0,29,8,141075.51,138296.94,2,0,0,0,0,1,0.9803043774217084,1,0,1,0,0.0,0.0,0,0,0
650,1,37,5,24495.03,106967.18,1,0,0,0,0,0,4.36689320241698,1,0,0,0,0.0,0.0,0,0,0
735,1,44,9,74836.34,120681.63,1,0,0,0,0,0,1.612607324195705,1,0,0,0,0.0,0.0,0,0,0
416,1,32,0,878.87,0.0,2,1,1,0,0,0,0.0,0,1,0,2,0.0,0.0,0,0,0
754,0,32,7,89520.75,0.0,2,0,0,0,0,1,0.0,0,1,0,0,0.0,0.0,0,0,0
535,0,48,9,149892.79,0.0,1,0,0,1,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
716,1,42,8,180800.42,0.0,2,0,0,0,0,1,0.0,0,1,1,0,0.0,0.0,0,0,0
539,1,37,2,98646.22,127609.59,1,0,0,0,0,0,1.293608513331783,1,0,0,0,0.0,0.0,0,0,0
614,0,43,6,109041.53,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
706,1,57,7,17941.16,0.0,1,0,0,1,0,1,0.0,0,1,0,0,0.0,0.0,0,0,0
758,0,33,7,82996.47,0.0,2,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
586,0,28,2,92067.35,0.0,2,1,1,0,0,1,0.0,0,1,0,2,0.0,0.0,0,0,0
646,0,73,6,104719.66,97259.25,1,1,1,0,0,0,0.9287582675497609,0,0,1,1,0.0,0.0,0,0,0
631,0,33,4,112687.57,123246.7,1,0,0,0,1,0,1.0937027038563347,1,0,1,0,123246.7,112687.57,0,1,1
717,0,22,6,84699.56,101060.25,1,1,1,0,0,1,1.1931614520783815,1,0,0,1,0.0,0.0,0,0,0
684,1,30,2,83473.82,0.0,2,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
800,0,49,7,47125.11,108007.36,1,0,0,0,0,0,2.2919280188417597,1,0,0,0,0.0,0.0,0,0,0
721,0,36,2,106977.8,0.0,2,1,1,0,0,1,0.0,0,1,1,2,0.0,0.0,0,0,0
683,1,29,0,55582.54,133702.89,1,0,0,1,0,1,2.405483628491969,1,0,0,0,0.0,0.0,0,0,0
660,1,31,9,139874.43,125189.75,2,1,1,0,1,0,0.8950152647628306,1,0,1,2,125189.75,139874.43,0,0,0
704,0,24,7,162503.48,113034.22,1,0,0,1,1,0,0.6955803038802615,1,0,1,0,113034.22,162503.48,0,1,1
615,0,41,9,196499.96,109013.23,1,0,0,0,0,1,0.554774820310396,1,0,1,0,0.0,0.0,0,0,0
667,0,39,2,40721.24,0.0,2,0,0,1,0,1,0.0,0,1,0,0,0.0,0.0,0,0,0
682,1,24,9,53134.3,57929.81,2,0,0,0,1,0,1.0902526240112318,0,0,0,0,57929.81,53134.3,0,1,1
484,0,29,4,164017.89,130114.39,1,0,0,0,0,0,0.7932938900750399,1,0,1,0,0.0,0.0,0,0,0
628,1,27,5,155996.96,95826.49,2,0,0,0,1,0,0.6142843424641096,0,0,1,0,95826.49,155996.96,0,1,1
480,1,44,10,5472.7,129608.57,1,0,0,1,1,0,23.68274709010178,1,0,0,0,129608.57,5472.7,1,1,1
578,1,30,4,112187.11,169462.09,1,0,0,0,0,0,1.5105308444080607,1,0,1,0,0.0,0.0,0,0,0
512,1,40,5,146457.83,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
484,0,35,7,27286.1,133868.21,1,1,1,0,0,1,4.9060954112167,1,0,0,1,0.0,0.0,0,0,0
510,0,30,0,130553.47,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
606,1,36,5,179351.89,190479.48,2,0,0,0,1,0,1.0620433383779786,1,0,1,0,190479.48,179351.89,0,1,1
597,0,40,8,94774.12,101993.12,1,1,1,0,0,1,1.0761705832773758,1,0,0,1,0.0,0.0,0,0,0
754,0,55,3,8080.85,161608.81,1,0,0,1,1,0,19.998986492757567,1,0,0,0,161608.81,8080.85,0,1,1
850,0,45,2,19482.5,122311.21,1,1,1,0,0,1,6.2780038496086235,1,0,0,1,0.0,0.0,0,0,0
510,1,65,2,48071.61,0.0,2,1,1,0,0,0,0.0,0,1,0,2,0.0,0.0,0,0,0
778,0,45,1,174531.27,162150.42,2,0,0,0,1,0,0.929062282077017,1,0,1,0,162150.42,174531.27,0,1,1
636,1,42,2,55470.78,0.0,2,1,1,0,0,0,0.0,0,1,0,2,0.0,0.0,0,0,0
804,0,50,4,8546.87,0.0,1,1,1,1,0,0,0.0,0,1,0,1,0.0,0.0,0,0,0
514,1,32,8,95857.18,0.0,2,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
730,0,39,1,194945.8,99010.67,1,0,0,0,0,0,0.507888192512996,0,0,1,0,0.0,0.0,0,0,0
525,0,37,0,131521.72,0.0,1,1,1,0,0,1,0.0,0,1,1,1,0.0,0.0,0,0,0
616,1,30,5,196108.51,0.0,2,1,1,0,0,1,0.0,0,1,1,2,0.0,0.0,0,0,0
687,0,34,7,148564.76,111388.18,2,0,0,0,1,0,0.7497617873848413,1,0,1,0,111388.18,148564.76,0,1,1
715,0,41,8,92982.61,56214.85,2,0,0,1,0,0,0.6045738014882568,0,0,0,0,0.0,0.0,0,0,0
512,0,36,3,17675.36,84327.77,2,0,0,0,0,0,4.77092234613609,0,0,0,0,0.0,0.0,0,0,0
479,1,40,1,114996.43,0.0,2,0,0,0,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
601,1,32,8,86957.42,93012.89,1,0,0,0,0,0,1.0696371856478724,0,0,0,0,0.0,0.0,0,0,0
580,1,29,9,128077.8,61710.44,2,0,0,0,0,1,0.48181995630780666,0,0,1,0,0.0,0.0,0,0,0
807,1,35,3,600.36,174790.15,1,1,1,0,0,0,291.1422313278699,1,0,0,1,0.0,0.0,0,0,0
616,0,32,6,43001.46,0.0,2,1,1,0,0,1,0.0,0,1,0,2,0.0,0.0,0,0,0
721,1,37,3,158591.12,107720.64,1,1,1,0,1,0,0.6792350038261915,1,0,1,1,107720.64,158591.12,0,0,0
501,1,57,10,47847.19,0.0,2,1,1,0,0,0,0.0,0,1,0,2,0.0,0.0,0,0,0
521,1,35,6,10488.44,96423.84,1,0,0,0,0,0,9.19334429142942,0,0,0,0,0.0,0.0,0,0,0
850,1,30,2,5978.2,141040.01,1,1,1,0,0,1,23.592387340671106,1,0,0,1,0.0,0.0,0,0,0
759,1,42,4,121409.06,105420.18,1,1,1,0,0,0,0.8683057096397913,1,0,1,1,0.0,0.0,0,0,0
516,1,50,5,146145.93,0.0,1,1,1,1,0,1,0.0,0,1,1,1,0.0,0.0,0,0,0
711,0,38,2,14374.86,129022.06,2,1,1,1,0,0,8.975535066080644,1,0,0,2,0.0,0.0,0,0,0
512,1,33,3,94670.77,176666.62,1,0,0,0,0,1,1.8661158032199379,1,0,0,0,0.0,0.0,0,0,0
550,1,37,3,179670.31,0.0,1,1,1,0,0,0,0.0,0,1,1,1,0.0,0.0,0,0,0
608,0,41,3,199304.74,89763.84,1,0,0,1,0,1,0.4503848729337797,0,0,1,0,0.0,0.0,0,0,0
618,1,34,5,151954.39,134954.53,1,1,1,0,0,0,0.8881252460030934,1,0,1,1,0.0,0.0,0,0,0
643,1,45,5,142513.5,0.0,1,0,0,1,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
671,1,45,2,158264.62,106376.85,1,1,1,0,0,0,0.6721454864643785,1,0,1,1,0.0,0.0,0,0,0
689,1,33,2,169381.9,161814.64,2,0,0,0,1,0,0.9553242701847129,1,0,1,0,161814.64,169381.9,0,1,1
603,1,31,8,169915.02,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
620,0,41,9,88852.47,0.0,2,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
676,0,34,1,40645.81,63095.01,1,1,1,0,0,0,1.5523127722144054,0,0,0,1,0.0,0.0,0,0,0
572,1,26,4,60427.3,118287.01,2,0,0,0,1,0,1.9575094369597845,1,0,0,0,118287.01,60427.3,1,1,1
668,1,47,7,157959.02,106854.21,1,1,1,1,1,0,0.6764679218698623,1,0,1,1,106854.21,157959.02,0,0,0
695,1,46,7,133007.34,49512.55,1,0,0,0,0,0,0.37225426807272444,0,0,1,0,0.0,0.0,0,0,0
730,0,33,9,176576.62,0.0,2,0,0,0,0,1,0.0,0,1,1,0,0.0,0.0,0,0,0
807,1,43,1,34888.04,105799.32,2,0,0,1,0,0,3.0325383713157863,1,0,0,0,0.0,0.0,0,0,0
592,1,54,8,28737.71,0.0,1,1,1,1,0,0,0.0,0,1,0,1,0.0,0.0,0,0,0
726,0,31,9,98178.57,114722.05,2,1,1,0,0,0,1.1685039820808145,1,0,0,2,0.0,0.0,0,0,0
514,1,30,7,125010.24,0.0,1,1,1,0,0,1,0.0,0,1,1,1,0.0,0.0,0,0,0
567,1,42,2,167984.61,0.0,2,1,1,0,0,0,0.0,0,1,1,2,0.0,0.0,0,0,0
850,1,33,10,4861.72,0.0,1,0,0,1,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
671,1,45,6,108872.45,99564.22,1,1,1,1,1,0,0.9145033477247918,0,0,1,1,99564.22,108872.45,0,0,0
670,1,37,4,198252.88,170557.91,2,0,0,0,0,0,0.8603048288630157,1,0,1,0,0.0,0.0,0,0,0
694,0,30,9,26960.31,0.0,2,1,1,0,0,0,0.0,0,1,0,2,0.0,0.0,0,0,0
547,0,39,6,85746.52,74596.15,3,1,1,1,1,0,0.8699612532380322,0,0,0,3,74596.15,85746.52,1,0,0
751,1,50,2,77206.25,96888.39,1,0,0,1,1,0,1.2549293612887558,0,0,0,0,96888.39,77206.25,0,1,1
594,0,29,3,61048.53,130830.22,1,0,0,0,1,0,2.1430527483626554,1,0,0,0,130830.22,61048.53,1,1,1
